"TOA5","PotTempCR1000","CR1000","5308","CR1000.Std.25","CPU:PotTempCR1000.CR1","38985","Table1"
"TIMESTAMP","RECORD","T109_C(1)","T109_C(2)","T109_C(3)","T109_C(4)","T109_C(5)","T109_C(6)","T109_C(7)","T109_C(8)","T109_C(9)","T109_C(10)","T109_C(11)","T109_C(12)","T109_C(13)","T109_C(14)","T109_C(15)","T109_C(16)","T109_C(17)","T109_C(18)","T109_C(19)","T109_C(20)","T109_C(21)","T109_C(22)","T109_C(23)","T109_C(24)","T109_C(25)","T109_C(26)","T109_C(27)","T109_C(28)","T107_C(1)","T107_C(2)","T107_C(3)","T107_C(4)","T107_C(5)"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2014-10-27 16:02:00",0,-2.886,-2.881,-3.018,-2.875,-2.7,-2.93,-2.832,-3.576,-2.842,-2.815,-2.646,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.985,-3.05,-2.777,-2.81,-3.028,-3.105,-2.733,-2.832,-3.072,-2.881,-2.952,12.45,"NAN","NAN","NAN","NAN"
"2014-10-27 16:03:00",1,-2.886,-2.881,-3.018,-2.875,-2.7,-2.93,-2.832,-3.576,-2.842,-2.815,-2.651,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.99,-3.05,-2.777,-2.81,-3.028,-3.105,-2.733,-2.832,-3.072,-2.875,-2.952,12.45,"NAN","NAN","NAN","NAN"
"2014-10-27 16:04:00",2,-2.886,-2.886,-3.018,-2.875,-2.7,-2.93,-2.832,-3.576,-2.842,-2.81,-2.651,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.99,-3.05,-2.777,-2.81,-3.028,-3.105,-2.733,-2.832,-3.072,-2.875,-2.952,12.45,"NAN","NAN","NAN","NAN"
"2014-10-27 16:05:00",3,-2.886,-2.886,-3.018,-2.875,-2.7,-2.93,-2.832,-3.576,-2.842,-2.815,-2.646,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.99,-3.05,-2.777,-2.81,-3.028,-3.105,-2.733,-2.832,-3.072,-2.881,-2.952,12.47,"NAN","NAN","NAN","NAN"
"2014-10-27 16:06:00",4,-2.886,-2.886,-3.018,-2.875,-2.7,-2.93,-2.821,-3.576,-2.842,-2.81,-2.646,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.99,-3.05,-2.777,-2.81,-3.028,-3.105,-2.733,-2.832,-3.072,-2.875,-2.952,12.54,"NAN","NAN","NAN","NAN"
"2014-10-27 16:07:00",5,-2.886,-2.886,-3.018,-2.875,-2.7,-2.93,-2.821,-3.576,-2.842,-2.821,-2.646,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.996,-3.05,-2.777,-2.81,-3.028,-3.105,-2.733,-2.832,-3.072,-2.875,-2.952,12.56,"NAN","NAN","NAN","NAN"
"2014-10-27 16:08:00",6,-2.886,-2.875,-3.028,-2.875,-2.7,-2.93,-2.821,-3.576,-2.842,-2.815,-2.646,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.99,-3.05,-2.777,-2.81,-3.028,-3.105,-2.733,-2.832,-3.072,-2.881,-2.952,12.6,"NAN","NAN","NAN","NAN"
"2014-10-27 16:09:00",7,-2.886,-2.875,-3.028,-2.875,-2.7,-2.93,-2.826,-3.576,-2.842,-2.81,-2.646,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.996,-3.05,-2.777,-2.81,-3.028,-3.105,-2.733,-2.832,-3.072,-2.875,-2.952,12.62,"NAN","NAN","NAN","NAN"
"2014-10-27 16:10:00",8,-2.886,-2.87,-3.023,-2.875,-2.7,-2.93,-2.821,-3.576,-2.842,-2.81,-2.646,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.996,-3.056,-2.777,-2.81,-3.028,-3.105,-2.728,-2.832,-3.072,-2.875,-2.952,12.64,"NAN","NAN","NAN","NAN"
"2014-10-27 16:11:00",9,-2.886,-2.87,-3.028,-2.875,-2.7,-2.93,-2.826,-3.576,-2.842,-2.821,-2.646,-2.646,-2.722,-2.853,-2.706,-2.81,-2.646,-3.001,-3.05,-2.777,-2.81,-3.028,-3.105,-2.733,-2.832,-3.072,-2.875,-2.952,12.67,-273.2,-273.2,"NAN","NAN"
"2014-10-27 16:12:00",10,-2.886,-2.864,-3.023,-2.875,-2.7,-2.93,-2.826,-3.576,-2.842,-2.81,-2.651,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.99,-3.05,-2.777,-2.81,-3.028,-3.105,-2.728,-2.832,-3.072,-2.875,-2.952,12.7,"NAN","NAN","NAN",-54.89
"2014-10-27 16:13:00",11,-2.886,-2.864,-3.028,-2.875,-2.7,-2.93,-2.832,-3.576,-2.842,-2.81,-2.635,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.99,-3.056,-2.771,-2.81,-3.028,-3.105,-2.722,-2.832,-3.072,-2.875,-2.952,"NAN","NAN","NAN","NAN","NAN"
"2014-10-27 16:14:00",12,-2.886,-2.87,-3.028,-2.875,-2.7,-2.93,-2.832,-3.576,-2.842,-2.81,-2.635,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.985,-3.05,-2.771,-2.81,-3.028,-3.105,-2.711,-2.832,-3.072,-2.875,-2.952,12.73,12.62,12.8,13.11,"NAN"
"2014-10-27 16:15:00",13,-2.886,-2.864,-3.018,-2.875,-2.7,-2.93,-2.832,-3.576,-2.842,-2.81,-2.635,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.996,-3.05,-2.777,-2.81,-3.028,-3.105,-2.711,-2.832,-3.072,-2.875,-2.952,12.74,12.62,12.82,13.01,"NAN"
"2014-10-27 16:16:00",14,-2.886,-2.87,-3.023,-2.875,-2.7,-2.93,-2.842,-3.576,-2.842,-2.81,-2.635,-2.646,-2.722,-2.853,-2.7,-2.81,-2.64,-2.996,-3.05,-2.771,-2.81,-3.028,-3.105,-2.717,-2.832,-3.072,-2.875,-2.897,12.76,12.62,12.83,13.11,"NAN"
"2014-10-27 16:17:00",15,-2.886,-2.87,-3.023,-2.875,-2.7,-2.93,-2.842,-3.576,-2.842,-2.81,-2.635,-2.646,-2.722,-2.853,-2.7,-2.81,-2.646,-2.99,-3.05,-2.771,-2.81,-3.028,-3.105,-2.711,-2.832,-3.072,-2.875,-2.919,12.78,12.6,12.83,13.24,"NAN"
"2014-10-27 16:18:00",16,-2.886,-2.87,-3.023,-2.875,-2.7,-2.93,-2.842,-3.576,-2.842,-2.81,-2.635,-2.646,-2.722,-2.853,-2.7,-2.81,-2.635,-2.985,-3.05,-2.771,-2.81,-3.028,-3.105,-2.711,-2.832,-3.078,-2.875,-2.919,12.78,12.61,12.81,13.25,"NAN"
"2014-10-27 16:19:00",17,-2.886,-2.87,-3.023,-2.875,-2.7,-2.93,-2.842,-3.576,-2.842,-2.81,-2.635,-2.646,-2.722,-2.853,-2.7,-2.81,-2.635,-2.99,-3.05,-2.771,-2.81,-3.028,-3.105,-2.711,-2.832,-3.083,-2.875,-2.919,12.82,12.6,13.28,13.13,"NAN"
"2014-10-27 16:20:00",18,-2.886,-2.875,-3.018,-2.875,-2.7,-2.93,-2.848,-3.576,-2.842,-2.81,-2.635,-2.64,-2.722,-2.853,-2.7,-2.81,-2.635,-2.99,-3.05,-2.766,-2.81,-3.028,-3.105,-2.711,-2.832,-3.078,-2.875,-2.93,12.82,12.63,12.25,13.11,"NAN"
"2014-10-27 16:21:00",19,-2.886,-2.87,-3.018,-2.875,-2.7,-2.93,-2.853,-3.576,-2.842,-2.81,-2.635,-2.635,-2.711,-2.848,-2.7,-2.81,-2.635,-2.985,-3.05,-2.771,-2.81,-3.028,-3.105,-2.711,-2.832,-3.083,-2.875,-2.93,12.8,12.66,11.73,13.06,"NAN"
"2014-10-27 16:22:00",20,-2.886,-2.875,-3.018,-2.875,-2.7,-2.93,-2.853,-3.576,-2.842,-2.81,-2.635,-2.64,-2.722,-2.853,-2.7,-2.804,-2.635,-2.985,-3.05,-2.771,-2.81,-3.028,-3.105,-2.711,-2.81,-3.078,-2.875,-2.952,12.79,12.66,11.45,13.01,"NAN"
"2014-10-27 16:23:00",21,-2.886,-2.87,-3.018,-2.875,-2.7,-2.93,-2.853,-3.576,-2.842,-2.81,-2.635,-2.635,-2.722,-2.848,-2.7,-2.81,-2.635,-2.985,-3.05,-2.766,-2.81,-3.028,-3.094,-2.662,-2.821,-3.05,-2.821,-2.952,12.78,12.69,11.29,12.97,"NAN"
"2014-10-27 16:24:00",22,-2.886,-2.87,-3.018,-2.875,-2.7,-2.93,-2.853,-3.576,-2.842,-2.81,-2.635,-2.646,-2.722,-2.853,-2.657,-2.81,-2.613,-2.963,-2.974,-2.733,-2.733,-2.941,-3.023,-2.591,-2.799,-2.957,-2.766,-2.897,12.76,12.69,11.15,12.91,"NAN"
"2014-10-27 16:25:00",23,-2.886,-2.87,-3.018,-2.875,-2.7,-2.93,-2.853,-3.576,-2.832,-2.81,-2.613,-2.64,-2.679,-2.832,-2.624,-2.766,-2.58,-2.93,-2.93,-2.722,-2.711,-2.914,-2.996,-2.558,-2.799,-2.952,-2.744,-2.864,12.73,12.71,11.05,12.88,"NAN"
"2014-10-27 16:26:00",24,-2.886,-2.87,-3.018,-2.875,-2.7,-2.919,-2.842,-3.565,-2.777,-2.788,-2.602,-2.624,-2.668,-2.821,-2.629,-2.755,-2.569,-2.93,-2.935,-2.711,-2.711,-2.93,-3.001,-2.58,-2.799,-2.963,-2.744,-2.864,12.7,12.72,10.95,12.85,"NAN"
