Variable,Sensor,Rep,Treatment
BattV_Avg,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt
T109_C(2),1,4,PW
T109_C(1),2,1,F
T109_C(4),3,1,TT
T109_C(3),4,1,T
T109_C(6),5,4,F
T109_C(5),6,2,F
T109_C(8),7,2,Plunge
T109_C(7),8,4,TP
T109_C(10),9,3,TT
T109_C(9),10,3,T
T109_C(12),11,2,FW
T109_C(11),12,2,T
T109_C(14),13,2,P
T109_C(13),14,2,TT
T109_C(16),15,3,F
T109_C(15),16,2,PW
T109_C(18),17,3,FW
T109_C(17),18,4,FW
T109_C(20),19,3,Plunge
T109_C(19),20,1,TP
T109_C(22),21,3,PW
T109_C(21),22,3,TP
T109_C(24),23,3,P
T109_C(23),24,1,P
T109_C(26),25,1,Plunge
T109_C(25),26,1,PW
T109_C(28),27,1,FW
T109_C(27),28,2,TP
T109_C(29),29,Expt,AirTemp
T107_C(1),1,4,P
T107_C(2),2,4,T
T107_C(3),3,4,Plunge
T107_C(4),4,4,TT
SlrkW,,,
SlrMJ,,,
